"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-LEPBI_RS07970",278.959704085806,1.82245140506298,0.228717139714823,7.9681453140561,1.61073399296662e-15,5.38307300449443e-12
"gene-LEPBI_RS15720",39.2963382788891,8.64437024436666,1.25301895562419,6.8988343756224,5.24309557122589e-12,8.76121269951847e-09
"gene-LEPBI_RS09245",1792.93600040671,-1.30299170755407,0.193001396612831,-6.75120351677003,1.46623755086707e-11,1.63338863166592e-08
"gene-LEPBI_RS18540",71.2632792606367,-2.34546048547683,0.383103153456167,-6.12226880493476,9.22522180669037e-10,7.7076728194898e-07
"gene-LEPBI_RS04695",1813.44625809373,1.09843967955112,0.200711798720334,5.47272101866645,4.43177505040866e-08,2.96219844369315e-05
"gene-LEPBI_RS07900",11.8180326526278,2.64440791222596,0.535218776970092,4.94079809231679,7.78034443426122e-07,0.00043336518498835
"gene-LEPBI_RS15420",1924.29917038714,-0.968664403206681,0.202085787624359,-4.79333264646623,1.64033300689933e-06,0.000783141844151079
"gene-LEPBI_RS11575",9036.46102476368,-2.61230675101489,0.572214548951368,-4.56525748218419,4.9888163476427e-06,0.00208407802922774
"gene-LEPBI_RS17790",1629.11689208475,-2.07160104482148,0.489933651075165,-4.22832977542025,2.35432541014087e-05,0.00874239502298976
"gene-LEPBI_RS15220",24.0504062323255,1.56606473976152,0.376579460159627,4.15865681866368,3.20124425478848e-05,0.0106985582995031
"gene-LEPBI_RS16280",293.40013755885,-2.09303681743465,0.512364790544205,-4.08505200993914,4.40669448028514e-05,0.0133883390482845
"gene-LEPBI_RS00710",2617.10592227936,-3.52668788114895,0.877088749614711,-4.02090196995248,5.79757291861674e-05,0.0161462405783476
"gene-LEPBI_RS04230",53.4490880946386,-6.05174881565434,1.52719430554679,-3.96265805449529,7.41199057472516e-05,0.0175129495063468
"gene-LEPBI_RS19120",34.5937859360997,1.44886602141938,0.366929969941961,3.94861728424243,7.86039026317181e-05,0.0175129495063468
"gene-LEPBI_RS14350",4023.13276201402,-3.49652795359728,0.878002198933802,-3.98236810550505,6.82319916580292e-05,0.0175129495063468
"gene-LEPBI_RS16570",1214.53822739992,-1.87683540173812,0.485782876646949,-3.86352729164255,0.000111761400247129,0.0233441624766192
"gene-LEPBI_RS10580",12.4389387202347,2.08930839492329,0.542882398087728,3.84854694549457,0.000118820528439101,0.0233587180025574
"gene-LEPBI_RS00420",80.865584946748,-0.935232147742832,0.245195127935662,-3.81423625998079,0.000136604735522931,0.0253629458954243
"gene-LEPBI_RS15215",28.72154127698,1.2960176136361,0.349847130536316,3.70452549274678,0.000211786809222844,0.0372521850748814
"gene-LEPBI_RS17330",339.871622939582,-1.39679599453601,0.38716270919742,-3.60777513266073,0.000308833971016454,0.0492595565548437
"gene-LEPBI_RS18275",1732.70951106642,-0.698466961691748,0.193631848473997,-3.60719048646352,0.000309530427184835,0.0492595565548437
"gene-LEPBI_RS09975",166.633170699462,0.815054868790074,0.229093744669827,3.55773515320002,0.000374066185341157,0.0568240541550066
"gene-LEPBI_RS16120",35.1364276070736,1.3215810678743,0.377522240520176,3.50067075797531,0.000464088813548163,0.0674341223859983
"gene-LEPBI_RS16555",2504.15286209674,-1.76319357383173,0.507441523605321,-3.47467341912506,0.00051147563501793,0.0712229821762467
"gene-LEPBI_RS17920",543.34642828735,-3.34474344765177,0.967424588997602,-3.45736865249356,0.000545478079467754,0.0729195096632493
"gene-LEPBI_RS05775",50.2628530875708,-1.57659029591264,0.458362120707602,-3.43961733460601,0.000582537208737211,0.0748784365999907
"gene-LEPBI_RS01915",142.880529643245,-1.80972835155349,0.528767233204825,-3.42254254406961,0.000620383884310155,0.076789738569057
"gene-LEPBI_RS17930",389.43885522383,-3.51384809578971,1.03615673289844,-3.39123221827689,0.000695791197053228,0.0830476493054245
"gene-LEPBI_RS12085",2313.21641529461,-2.03025657422362,0.603505645373462,-3.36410535640848,0.000767922222685788,0.086609688679937
"gene-LEPBI_RS17925",260.87411287807,-3.3095179056487,0.984771820908559,-3.36069517362439,0.000777465787073043,0.086609688679937
"gene-LEPBI_RS04400",29.0574388002703,-1.34781256050725,0.40764793658284,-3.30631517923396,0.000945316902696294,0.0987265340253442
"gene-LEPBI_RS17460",456.812328555147,-1.90852869784931,0.576182669820775,-3.31236741022248,0.000925099653211542,0.0987265340253442
"gene-LEPBI_RS05510",212.763039366415,-1.76689152545279,0.538594302889028,-3.28056111246472,0.00103600817865671,0.103008707688234
"gene-LEPBI_RS18085",732.674638777204,-1.69324534830567,0.516655009978646,-3.27732300200796,0.00104796411172949,0.103008707688234
"gene-LEPBI_RS15670",16.9409640685206,1.31370818834121,0.406241480899812,3.23381104615755,0.00122150242044347,0.116636031117774
"gene-LEPBI_RS04890",100.238182468055,0.813084366765548,0.253831807201207,3.20324066448076,0.00135890368643324,0.126151558890552
"gene-LEPBI_RS09125",149.497246701362,-0.76863223905551,0.241355829205521,-3.18464336074104,0.00144932502975444,0.127464322353667
"gene-LEPBI_RS11355",391.4369503256,-0.675685259502663,0.211909364485775,-3.18855781169605,0.00142984415502456,0.127464322353667
"gene-LEPBI_RS01055",7.17267338156346,2.02630121521117,0.648066627681345,3.12668656070268,0.0017678829775425,0.144104022218221
"gene-LEPBI_RS11570",1110.48247472103,-1.76653207487116,0.564457494682129,-3.12961045165318,0.00175038254208342,0.144104022218221
"gene-LEPBI_RS15230",52.8184592955165,0.957690559141097,0.306158647386493,3.12808593621762,0.00175948728866193,0.144104022218221
"gene-LEPBI_RS05605",437.851374871732,-0.734498602247219,0.236534642204077,-3.1052474825802,0.00190119878537071,0.151281103350212
"gene-LEPBI_RS09420",223.300181101829,-0.597315254446948,0.193800550610278,-3.08211329929663,0.00205536590081064,0.159744949779283
"gene-LEPBI_RS04755",757.595926055192,-0.828843130631762,0.272696928696838,-3.03942965031777,0.00237026553012982,0.180032440947588
"gene-LEPBI_RS05650",42.3812088197217,0.902774597262947,0.298270328932389,3.02669930493685,0.00247239770163733,0.182567936649327
"gene-LEPBI_RS10605",487.404204243589,-0.772379884724999,0.255603997993284,-3.02178326938882,0.00251290397542461,0.182567936649327
"gene-LEPBI_RS07765",86.654314865755,0.720509251177362,0.240544416564979,2.99532727246957,0.00274150521239737,0.190877300413167
"gene-LEPBI_RS16560",7701.22519813233,-1.43385222468348,0.478468229958327,-2.99675534320923,0.00272869609460021,0.190877300413167
"gene-LEPBI_RS04935",130.993210649853,-0.680285817209353,0.228864519407058,-2.97243897381664,0.00295443936879127,0.190922395022001
"gene-LEPBI_RS05145",128.202549682395,-0.66909686087499,0.225227718526805,-2.97075717523355,0.0029706656317008,0.190922395022001
"gene-LEPBI_RS06225",871.235377922521,-0.534311288773517,0.179639471641236,-2.9743534864131,0.00293606630579008,0.190922395022001
"gene-LEPBI_RS06990",109.846077978747,-0.774088102444815,0.259023198301779,-2.98848947708132,0.00280360154453827,0.190922395022001
"gene-LEPBI_RS06355",191.183555311488,-0.873320291285564,0.295519912824042,-2.95519947518919,0.00312466951161209,0.193382324218659
"gene-LEPBI_RS13335",266.325468586991,-1.20535690957901,0.407533260570503,-2.95768965676971,0.00309954009033377,0.193382324218659
"gene-LEPBI_RS00215",37.5810774996915,1.0171388820531,0.345082971165132,2.94751977653041,0.00320334261712713,0.193948747887898
"gene-LEPBI_RS17490",89.5083018350357,-0.720396377933707,0.244778289887341,-2.94305666677085,0.00324988925246028,0.193948747887898
"gene-LEPBI_RS02570",235.790956523802,-0.583346618223531,0.199095793291906,-2.92997962728551,0.00338984227463739,0.197377648539951
"gene-LEPBI_RS07955",176.472728027393,-0.655007330335195,0.223801787453811,-2.92672966461619,0.00342546487591776,0.197377648539951
"gene-LEPBI_RS03285",550.892051101912,-0.826239295315335,0.282855356484923,-2.92106646161172,0.00348835402930996,0.197594562134811
